Freq.	V(vo)/V(Vi)
1.36144468246594e+002	(-4.13214486253132e+001dB,-9.05016822625440e+001°)
1.36458313658892e+002	(-4.13014295000416e+001dB,-9.05027959346373e+001°)
1.36772882559584e+002	(-4.12814102865285e+001dB,-9.05039122827893e+001°)
1.37088176616484e+002	(-4.12613909843661e+001dB,-9.05050313129938e+001°)
1.37404197501251e+002	(-4.12413715931444e+001dB,-9.05061530312524e+001°)
1.37720946889394e+002	(-4.12213521120660e+001dB,-9.05072774436090e+001°)
1.38038426460288e+002	(-4.12013325411801e+001dB,-9.05084045560684e+001°)
1.38356637897177e+002	(-4.11813128799168e+001dB,-9.05095343746907e+001°)
1.38675582887188e+002	(-4.11612931278587e+001dB,-9.05106669055420e+001°)
1.38995263121334e+002	(-4.11412732846635e+001dB,-9.05118021546932e+001°)
1.39315680294529e+002	(-4.11212533497556e+001dB,-9.05129401282487e+001°)
1.39636836105593e+002	(-4.11012333228658e+001dB,-9.05140808323084e+001°)
1.39958732257261e+002	(-4.10812132033377e+001dB,-9.05152242730111e+001°)
1.40281370456195e+002	(-4.10611929908981e+001dB,-9.05163704564838e+001°)
1.40604752412990e+002	(-4.10411726852722e+001dB,-9.05175193888719e+001°)
1.40928879842186e+002	(-4.10211522857202e+001dB,-9.05186710763660e+001°)
1.41253754462274e+002	(-4.10011317920404e+001dB,-9.05198255251348e+001°)
1.41579377995707e+002	(-4.09811112037976e+001dB,-9.05209827413757e+001°)
1.41905752168908e+002	(-4.09610905203232e+001dB,-9.05221427313175e+001°)
1.42232878712281e+002	(-4.09410697414093e+001dB,-9.05233055011799e+001°)
1.42560759360218e+002	(-4.09210488665377e+001dB,-9.05244710572097e+001°)
1.42889395851109e+002	(-4.09010278954192e+001dB,-9.05256394056576e+001°)
1.43218789927353e+002	(-4.08810068273772e+001dB,-9.05268105528148e+001°)
1.43548943335365e+002	(-4.08609856618870e+001dB,-9.05279845049791e+001°)
1.43879857825583e+002	(-4.08409643986535e+001dB,-9.05291612684443e+001°)
1.44211535152486e+002	(-4.08209430372252e+001dB,-9.05303408495343e+001°)
1.44543977074592e+002	(-4.08009215772256e+001dB,-9.05315232545838e+001°)
1.44877185354475e+002	(-4.07809000181217e+001dB,-9.05327084899473e+001°)
1.45211161758773e+002	(-4.07608783593787e+001dB,-9.05338965620001e+001°)
