Freq.	V(vo)
1.41579377995707e+02	(-2.44806977401803e-04dB,-8.63461260728084e+00°)
1.41905752168908e+02	(-2.44739901718518e-04dB,-8.65455567966386e+00°)
1.42232878712281e+02	(-2.44672621066997e-04dB,-8.67454499296409e+00°)
1.42560759360218e+02	(-2.44605135938100e-04dB,-8.69458065565842e+00°)
1.42889395851109e+02	(-2.44537446857406e-04dB,-8.71466277648720e+00°)
1.43218789927353e+02	(-2.44469554370743e-04dB,-8.73479146445489e+00°)
1.43548943335364e+02	(-2.44401459027798e-04dB,-8.75496682883078e+00°)
1.43879857825583e+02	(-2.44333161436121e-04dB,-8.77518897914965e+00°)
1.44211535152486e+02	(-2.44264662199400e-04dB,-8.79545802521257e+00°)
1.44543977074592e+02	(-2.44195961959903e-04dB,-8.81577407708755e+00°)
1.44877185354475e+02	(-2.44127061374357e-04dB,-8.83613724511024e+00°)
1.45211161758773e+02	(-2.44057961131319e-04dB,-8.85654763988470e+00°)
1.45545908058195e+02	(-2.43988661944414e-04dB,-8.87700537228410e+00°)
1.45881426027534e+02	(-2.43919164553308e-04dB,-8.89751055345144e+00°)
1.46217717445671e+02	(-2.43849469727559e-04dB,-8.91806329480025e+00°)
1.46554784095590e+02	(-2.43779578247337e-04dB,-8.93866370801535e+00°)
1.46892627764385e+02	(-2.43709490934274e-04dB,-8.95931190505356e+00°)
1.47231250243271e+02	(-2.43639208641831e-04dB,-8.98000799814449e+00°)
1.47570653327588e+02	(-2.43568732240824e-04dB,-9.00075209979119e+00°)
1.47910838816819e+02	(-2.43498062636785e-04dB,-9.02154432277087e+00°)
1.48251808514594e+02	(-2.43427200757431e-04dB,-9.04238478013575e+00°)
1.48593564228699e+02	(-2.43356147561332e-04dB,-9.06327358521379e+00°)
1.48936107771090e+02	(-2.43284904049494e-04dB,-9.08421085160931e+00°)
1.49279440957898e+02	(-2.43213471243173e-04dB,-9.10519669320382e+00°)
1.49623565609442e+02	(-2.43141850191591e-04dB,-9.12623122415682e+00°)
1.49968483550236e+02	(-2.43070041979652e-04dB,-9.14731455890645e+00°)
1.50314196609001e+02	(-2.42998047730833e-04dB,-9.16844681217026e+00°)
1.50660706618673e+02	(-2.42925868587899e-04dB,-9.18962809894613e+00°)
